Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\mmWall\Project Outputs for mmWall\Pick Place for 22GHz-26GHz.txt

========================================================================================================================
File Design Information:

Date:       25-12-25
Time:       08:13
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment Layer       Footprint            Center-X(mil) Center-Y(mil) Rotation Description 
IND8       Comment BottomLayer 026011C_ELE_2        2032.621      5193.615      180      ""          
IND7       Comment BottomLayer 026011C_ELE_2        2079.449      5285.856      180      ""          
IND10      Comment BottomLayer 026011C_ELE_2        2032.621      5049.511      180      ""          
IND9       Comment BottomLayer 026011C_ELE_2        2079.449      5141.752      180      ""          
IND12      Comment BottomLayer 026011C_ELE_2        2032.621      4905.406      180      ""          
IND11      Comment BottomLayer 026011C_ELE_2        2079.449      4997.647      180      ""          
IND14      Comment BottomLayer 026011C_ELE_2        2032.621      4761.301      180      ""          
IND13      Comment BottomLayer 026011C_ELE_2        2079.449      4853.542      180      ""          
IND16      Comment BottomLayer 026011C_ELE_2        2032.621      4617.197      180      ""          
IND15      Comment BottomLayer 026011C_ELE_2        2079.449      4709.438      180      ""          
IND18      Comment BottomLayer 026011C_ELE_2        2032.621      4473.092      180      ""          
IND17      Comment BottomLayer 026011C_ELE_2        2079.449      4565.333      180      ""          
IND20      Comment BottomLayer 026011C_ELE_2        2032.621      4328.988      180      ""          
IND19      Comment BottomLayer 026011C_ELE_2        2079.449      4421.229      180      ""          
IND22      Comment BottomLayer 026011C_ELE_2        2032.621      4184.883      180      ""          
IND21      Comment BottomLayer 026011C_ELE_2        2079.448      4277.124      180      ""          
IND24      Comment BottomLayer 026011C_ELE_2        2032.621      4040.778      180      ""          
IND23      Comment BottomLayer 026011C_ELE_2        2079.448      4133.020      180      ""          
IND26      Comment BottomLayer 026011C_ELE_2        2032.621      3896.674      180      ""          
IND25      Comment BottomLayer 026011C_ELE_2        2079.449      3988.915      180      ""          
IND28      Comment BottomLayer 026011C_ELE_2        2032.621      3752.569      180      ""          
IND27      Comment BottomLayer 026011C_ELE_2        2079.449      3844.811      180      ""          
IND30      Comment BottomLayer 026011C_ELE_2        2032.621      3608.465      180      ""          
IND29      Comment BottomLayer 026011C_ELE_2        2079.449      3700.706      180      ""          
IND32      Comment BottomLayer 026011C_ELE_2        2032.621      3464.360      180      ""          
IND31      Comment BottomLayer 026011C_ELE_2        2079.449      3556.601      180      ""          
IND34      Comment BottomLayer 026011C_ELE_2        2032.621      3320.256      180      ""          
IND33      Comment BottomLayer 026011C_ELE_2        2079.448      3412.497      180      ""          
IND36      Comment BottomLayer 026011C_ELE_2        2032.621      3176.151      180      ""          
IND35      Comment BottomLayer 026011C_ELE_2        2079.449      3268.392      180      ""          
IND38      Comment BottomLayer 026011C_ELE_2        2032.621      3032.046      180      ""          
IND37      Comment BottomLayer 026011C_ELE_2        2079.449      3124.287      180      ""          
IND40      Comment BottomLayer 026011C_ELE_2        2032.621      2887.942      180      ""          
IND39      Comment BottomLayer 026011C_ELE_2        2079.449      2980.183      180      ""          
IND42      Comment BottomLayer 026011C_ELE_2        2032.621      2743.837      180      ""          
IND41      Comment BottomLayer 026011C_ELE_2        2079.449      2836.078      180      ""          
IND44      Comment BottomLayer 026011C_ELE_2        2032.621      2599.733      180      ""          
IND43      Comment BottomLayer 026011C_ELE_2        2079.448      2691.974      180      ""          
IND46      Comment BottomLayer 026011C_ELE_2        2032.621      2455.628      180      ""          
IND45      Comment BottomLayer 026011C_ELE_2        2079.448      2547.869      180      ""          
IND48      Comment BottomLayer 026011C_ELE_2        2032.621      2311.523      180      ""          
IND47      Comment BottomLayer 026011C_ELE_2        2079.448      2403.765      180      ""          
IND50      Comment BottomLayer 026011C_ELE_2        2032.621      2167.419      180      ""          
IND49      Comment BottomLayer 026011C_ELE_2        2079.449      2259.660      180      ""          
IND52      Comment BottomLayer 026011C_ELE_2        2032.621      2023.314      180      ""          
IND51      Comment BottomLayer 026011C_ELE_2        2079.449      2115.555      180      ""          
IND54      Comment BottomLayer 026011C_ELE_2        2032.621      1879.210      180      ""          
IND53      Comment BottomLayer 026011C_ELE_2        2079.449      1971.451      180      ""          
IND56      Comment BottomLayer 026011C_ELE_2        2032.621      1735.105      180      ""          
IND55      Comment BottomLayer 026011C_ELE_2        2079.449      1827.346      180      ""          
